,radius,theta,value
481,364.5,180.0,0.9906843594610011
482,369.0,180.0,0.9904257230210086
483,373.5,180.0,0.990161754996198
484,378.0,180.0,0.9898924036589636
485,382.5,180.0,0.9896176172816991
486,387.0,180.0,0.9893373441367989
487,391.5,180.0,0.9890515324966569
488,396.0,180.0,0.9887601306336676
489,400.5,180.0,0.988463086820225
490,405.0,180.0,0.988160349328723
491,409.5,180.0,0.9878518664315559
492,414.0,180.0,0.9875375864011179
493,418.5,180.0,0.9872164936461424
494,423.0,180.0,0.9868821609390618
495,427.5,180.0,0.9865325560703557
496,432.0,180.0,0.9861667395340311
497,436.5,180.0,0.9857837718240962
498,441.0,180.0,0.9853827134345573
499,445.5,180.0,0.9849626248594231
500,450.0,180.0,0.9845225665926992
501,454.5,180.0,0.9840615991283944
502,459.0,180.0,0.9835787829605153
503,463.5,180.0,0.9830731785830694
504,468.0,180.0,0.982543678240648
505,472.5,180.0,0.9819924758792227
506,477.0,180.0,0.9814266407590686
507,481.5,180.0,0.9808530393197671
508,486.0,180.0,0.9802785380008991
509,490.5,180.0,0.9797100032420472
510,495.0,180.0,0.979154301482792
511,499.5,180.0,0.9786182991627157
512,504.0,180.0,0.9781088627213995
513,508.5,180.0,0.9776311511268629
514,513.0,180.0,0.9771498416821865
515,517.5,180.0,0.9766473392119093
516,522.0,180.0,0.9761223334887886
517,526.5,180.0,0.9755735142855799
518,531.0,180.0,0.9749995713750393
519,535.5,180.0,0.9743991945299225
520,540.0,180.0,0.9737710735229855
521,544.5,180.0,0.97311345151464
522,549.0,180.0,0.9724202739717437
523,553.5,180.0,0.9716875020756648
524,558.0,180.0,0.9709123388033829
525,562.5,180.0,0.9700919871318772
526,567.0,180.0,0.9692236500381267
527,571.5,180.0,0.9683045304991106
528,576.0,180.0,0.967332399101128
529,580.5,180.0,0.966315995682659
530,585.0,180.0,0.9652767169282522
531,589.5,180.0,0.9642368342761354
532,594.0,180.0,0.9632186191645347
533,598.5,180.0,0.9622443430316766
